capture_datetime,match_datetime,stage,match_id,home_team,away_team,p_home,p_draw,p_away,ou_line,p_over,p_under,cs_pred_home,cs_pred_away,cs_pred_odds,notes
2026-06-17T23:04:00-04:00,2026-06-18T15:00:00-04:00,group,B3-CHE-BIH,Switzerland,Bosnia and Herzegovina,0.6536,0.2439,0.1481,2.5,0.4878,0.5556,1,0,5.75,Matchday-8 shadow (1=1.53 X=4.10 2=6.75; O2.5=2.05 U2.5=1.80; cs 1:0@5.75 lowest)
2026-06-17T23:04:59-04:00,2026-06-18T18:00:00-04:00,group,B4-CAN-QAT,Canada,Qatar,0.7692,0.1818,0.0833,2.5,0.5814,0.4545,2,0,5.50,Matchday-8 shadow (1=1.30 X=5.50 2=12; O2.5=1.72 U2.5=2.20; cs 2:0@5.50 lowest)
2026-06-17T23:05:47-04:00,2026-06-18T21:00:00-04:00,group,A4-MEX-KOR,Mexico,Korea Republic,0.4878,0.3030,0.2439,2.5,0.4167,0.6173,1,1,5.50,Matchday-8 shadow (1=2.05 X=3.30 2=4.10; O2.5=2.40 U2.5=1.62; cs 1:1@5.50 lowest — DRAW; diverges from model 1-0)
2026-06-18T20:18:38-04:00,2026-06-19T15:00:00-04:00,group,D3-USA-AUS,USA,Australia,0.6250,0.2174,0.1905,2.5,0.5128,0.5319,1,0,6.25,Matchday-9 shadow (1=1.60 X=4.60 2=5.25; O2.5=1.95 U2.5=1.88; cs 1:0@6.25 lowest)
2026-06-18T20:19:14-04:00,2026-06-19T18:00:00-04:00,group,C3-SCO-MAR,Scotland,Morocco,0.2000,0.2857,0.5556,2.5,0.4444,0.5882,0,1,5.50,Matchday-9 shadow (1=5 X=3.50 2=1.80; O2.5=2.25 U2.5=1.70; cs 0:1@5.50 lowest)
2026-06-18T20:20:29-04:00,2026-06-19T20:30:00-04:00,group,C4-BRA-HAI,Brazil,Haiti,0.9091,0.1000,0.0455,3.5,0.5556,0.5263,2,0,6.50,Matchday-9 shadow (1=1.10 X=10 2=22; O3.5=1.80 U3.5=1.90; cs 2:0@6.50 lowest)
2026-06-18T20:21:02-04:00,2026-06-19T23:00:00-04:00,group,D4-TUR-PAR,Turkey,Paraguay,0.5000,0.2985,0.2564,2.5,0.4878,0.5814,1,1,5.75,Matchday-9 shadow (1=2 X=3.35 2=3.90; O2.5=2.05 U2.5=1.72; cs 1:1@5.75 lowest — DRAW; diverges from model 1-0)
2026-06-20T01:13:10-04:00,2026-06-20T13:00:00-04:00,group,F3-NED-SWE,Netherlands,Sweden,0.5714,0.2564,0.2105,2.5,0.5814,0.4545,1,1,6.50,Matchday-10 shadow (1=1.75 X=3.90 2=4.75; O2.5=1.72 U2.5=2.20; cs 1:1@6.50 lowest — DRAW; diverges from model 2-1)
2026-06-20T01:13:48-04:00,2026-06-20T16:00:00-04:00,group,E3-GER-CIV,Germany,Ivory Coast,0.6536,0.2273,0.1600,2.5,0.6173,0.4167,1,1,7.00,Matchday-10 shadow (1=1.53 X=4.40 2=6.25; O2.5=1.62 U2.5=2.40; cs 1:1@7.00 lowest — DRAW; diverges from model 2-1)
2026-06-20T01:14:47-04:00,2026-06-20T20:00:00-04:00,group,E4-ECU-CUR,Ecuador,Curacao,0.8696,0.1250,0.0455,3.5,0.4167,0.6173,2,0,5.00,Matchday-10 shadow (1=1.15 X=8 2=22; O3.5=2.40 U3.5=1.62; cs 2:0@5.00 lowest)
2026-06-20T01:15:21-04:00,2026-06-21T00:00:00-04:00,group,F4-TUN-JPN,Tunisia,Japan,0.1538,0.2500,0.6452,2.5,0.4762,0.5714,0,1,5.50,Matchday-10 shadow (1=6.50 X=4 2=1.55; O2.5=2.10 U2.5=1.75; cs 0:1@5.50 lowest)
2026-06-20T22:13:55-04:00,2026-06-21T12:00:00-04:00,group,H3-ESP-KSA,Spain,Saudi Arabia,0.8929,0.1053,0.0400,3.5,0.4545,0.5814,2,0,5.25,Matchday-11 shadow (1=1.12 X=9.50 2=25; O3.5=2.20 U3.5=1.72; cs TIE 2:0 and 3:0 both @5.25 — took 2:0 lower-scoring same-outcome)
2026-06-20T22:15:19-04:00,2026-06-21T15:00:00-04:00,group,G3-BEL-IRN,Belgium,Iran,0.6993,0.2174,0.1250,2.5,0.5405,0.5000,1,0,6.00,Matchday-11 shadow (1=1.43 X=4.60 2=8; O2.5=1.85 U2.5=2; cs 1:0@6.00 lowest)
2026-06-20T22:16:00-04:00,2026-06-21T18:00:00-04:00,group,H4-URU-CPV,Uruguay,Cape Verde,0.6897,0.2273,0.1176,2.5,0.4348,0.6061,1,0,4.75,Matchday-11 shadow (1=1.45 X=4.40 2=8.50; O2.5=2.30 U2.5=1.65; cs 1:0@4.75 lowest)
2026-06-20T22:16:31-04:00,2026-06-21T21:00:00-04:00,group,G4-NZL-EGY,New Zealand,Egypt,0.1667,0.2632,0.6061,2.5,0.4762,0.5714,0,1,5.50,Matchday-11 shadow (1=6 X=3.80 2=1.65; O2.5=2.10 U2.5=1.75; cs 0:1@5.50 lowest)
2026-06-21T22:32:00-04:00,2026-06-22T13:00:00-04:00,group,J3-ARG-AUT,Argentina,Austria,0.6536,0.2381,0.1429,2.5,0.5128,0.5319,1,0,5.75,Matchday-12 shadow (1=1.53 X=4.20 2=7; O2.5=1.95 U2.5=1.88; cs 1:0@5.75 lowest)
2026-06-21T22:33:00-04:00,2026-06-22T17:00:00-04:00,group,I3-FRA-IRQ,France,Iraq,0.9174,0.1000,0.0250,3.5,0.5128,0.5319,3,0,5.25,Matchday-12 shadow (1=1.09 X=10 2=40; O3.5=1.95 U3.5=1.88; cs 3:0@5.25 lowest beats 2:0@5.75)
2026-06-21T22:33:30-04:00,2026-06-22T20:00:00-04:00,group,I4-NOR-SEN,Norway,Senegal,0.4444,0.2857,0.3077,2.5,0.5263,0.5128,1,1,5.75,Matchday-12 shadow (1=2.25 X=3.50 2=3.25; O2.5=1.90 U2.5=1.95; cs 1:1@5.75 lowest)
2026-06-21T22:34:00-04:00,2026-06-22T23:00:00-04:00,group,J4-JOR-ALG,Jordan,Algeria,0.1600,0.2439,0.6452,2.5,0.5405,0.5319,0,1,6.00,Matchday-12 shadow (1=6.25 X=4.10 2=1.55; O2.5=1.85 U2.5=1.88; cs 0:1@6.00 lowest)
2026-06-22T20:57:00-04:00,2026-06-23T13:00:00-04:00,group,K3-POR-UZB,Portugal,Uzbekistan,0.8475,0.1429,0.0556,3.5,0.4082,0.6369,2,0,5.50,Matchday-13 shadow (1=1.18 X=7 2=18; O3.5=2.45 U3.5=1.57; cs 2:0@5.50 lowest beats 3:0@6.25)
2026-06-22T20:58:00-04:00,2026-06-23T16:00:00-04:00,group,L3-ENG-GHA,England,Ghana,0.8197,0.1481,0.0667,2.5,0.6173,0.4255,2,0,5.50,Matchday-13 shadow (1=1.22 X=6.75 2=15; O2.5=1.62 U2.5=2.35; cs 2:0@5.50 lowest)
2026-06-22T20:58:30-04:00,2026-06-23T19:00:00-04:00,group,L4-PAN-CRO,Panama,Croatia,0.1429,0.2273,0.6667,2.5,0.5405,0.5000,0,1,6.25,Matchday-13 shadow (1=7 X=4.40 2=1.50; O2.5=1.85 U2.5=2; cs 0:1@6.25 lowest)
2026-06-22T20:59:00-04:00,2026-06-23T22:00:00-04:00,group,K4-COL-COD,Colombia,DR Congo,0.6536,0.2564,0.1379,2.5,0.4545,0.6173,1,0,4.75,Matchday-13 shadow (1=1.53 X=3.90 2=7.25; O2.5=2.20 U2.5=1.62; cs 1:0@4.75 lowest)
2026-06-24T11:47:00-04:00,2026-06-24T15:00:00-04:00,group,B5-CHE-CAN,Switzerland,Canada,0.4000,0.3279,0.3125,2.5,0.4545,0.5814,1,1,5.25,Matchday-14 shadow (1=2.50 X=3.05 2=3.20; O2.5=2.20 U2.5=1.72; cs 1:1@5.25 lowest)
2026-06-24T11:48:00-04:00,2026-06-24T15:00:00-04:00,group,B6-BIH-QAT,Bosnia and Herzegovina,Qatar,0.7299,0.1905,0.1111,2.5,0.6452,0.4000,2,0,7.00,Matchday-14 shadow (1=1.37 X=5.25 2=9; O2.5=1.55 U2.5=2.50; cs 2:0@7.00 lowest; note Codere O/U line 2.5 vs Polymarket 3.5)
2026-06-24T11:48:30-04:00,2026-06-24T18:00:00-04:00,group,C5-MAR-HAI,Morocco,Haiti,0.8475,0.1429,0.0556,3.5,0.4082,0.6369,2,0,5.50,Matchday-14 shadow (1=1.18 X=7 2=18; O3.5=2.45 U3.5=1.57; cs 2:0@5.50 lowest)
